Amount,HLA,Avg_Amount,cinAmount,ebvAmount,gsAmount,msiAmount,Frequency
1698,HLA-A36:01.csv,16.17142857,218,30,50,1400,0.008727761
1492,HLA-A31:01.csv,14.20952381,165,17,46,1264,0.022844844
1364,HLA-B42:01.csv,12.99047619,160,20,46,1138,0.019250253
1364,HLA-B42:02.csv,12.99047619,160,20,46,1138,0.002026342
1176,HLA-B08:01.csv,11.2,143,12,45,976,0.046977167
1070,HLA-B37:01.csv,10.19047619,140,17,43,870,0.008109823
1069,HLA-C07:01.csv,10.18095238,128,27,29,885,0.097888889
1069,HLA-C07:02.csv,10.18095238,128,27,29,885,0.11605087
1069,HLA-C07:04.csv,10.18095238,128,27,29,885,0.016044177
1005,HLA-A32:01.csv,9.571428571,138,16,38,813,0.017101299
994,HLA-A11:01.csv,9.466666667,116,21,30,827,0.098878209
994,HLA-A11:02.csv,9.466666667,116,21,30,827,0.007407407
869,HLA-B35:01.csv,8.276190476,110,17,23,719,0.047638229
869,HLA-B35:02.csv,8.276190476,110,17,23,719,0.00405611
869,HLA-B35:03.csv,8.276190476,110,17,23,719,0.011154474
869,HLA-B35:05.csv,8.276190476,110,17,23,719,0.002026342
869,HLA-B35:08.csv,8.276190476,110,17,23,719,0.001690331
867,HLA-A29:01.csv,8.257142857,110,22,22,713,0.003023867
867,HLA-A29:02.csv,8.257142857,110,22,22,713,0.021470225
861,HLA-A33:01.csv,8.2,104,7,31,719,0.010071874
861,HLA-A33:03.csv,8.2,104,7,31,719,0.039345465
852,HLA-B55:01.csv,8.114285714,101,8,37,706,0.00608348
852,HLA-B55:02.csv,8.114285714,101,8,37,706,0.007429922
825,HLA-B58:01.csv,7.857142857,113,11,33,668,0.032424219
825,HLA-B58:02.csv,7.857142857,113,11,33,668,0.016548463
728,HLA-A03:01.csv,6.933333333,90,10,19,609,0.072759952
728,HLA-A03:02.csv,6.933333333,90,10,19,609,0.001341725
724,HLA-B45:01.csv,6.895238095,82,4,18,620,0.019251623
698,HLA-B07:02.csv,6.647619048,87,8,29,574,0.065896547
698,HLA-B07:04.csv,6.647619048,87,8,29,574,0.000676133
698,HLA-B07:05.csv,6.647619048,87,8,29,574,0.005066541
698,HLA-B13:01.csv,6.647619048,87,8,29,574,0.015197568
698,HLA-B13:02.csv,6.647619048,87,8,29,574,0.022304153
698,HLA-B41:01.csv,6.647619048,87,8,29,574,0.003716674
698,HLA-B41:02.csv,6.647619048,87,8,29,574,0.005407005
698,HLA-B47:01.csv,6.647619048,87,8,29,574,0.001689646
698,HLA-B47:03.csv,6.647619048,87,8,29,574,0.000675447
698,HLA-B49:01.csv,6.647619048,87,8,29,574,0.015202364
698,HLA-B50:01.csv,6.647619048,87,8,29,574,0.007096309
698,HLA-B56:01.csv,6.647619048,87,8,29,574,0.008109138
698,HLA-B59:01.csv,6.647619048,87,8,29,574,0.001013171
698,HLA-B67:01.csv,6.647619048,87,8,29,574,0.001350895
698,HLA-B78:01.csv,6.647619048,87,8,29,574,0.003714961
698,HLA-B82:01.csv,6.647619048,87,8,29,574,0.000675447
678,HLA-A24:02.csv,6.457142857,87,9,22,560,0.115647219
678,HLA-A24:03.csv,6.457142857,87,9,22,560,0.001344092
678,HLA-A24:07.csv,6.457142857,87,9,22,560,0.003029286
671,HLA-B27:02.csv,6.39047619,59,11,23,578,0.004394861
671,HLA-B27:03.csv,6.39047619,59,11,23,578,0.001350895
671,HLA-B27:04.csv,6.39047619,59,11,23,578,0.004052685
671,HLA-B27:05.csv,6.39047619,59,11,23,578,0.016562849
647,HLA-B39:01.csv,6.161904762,70,5,22,550,0.013851469
647,HLA-B39:06.csv,6.161904762,70,5,22,550,0.001689989
647,HLA-B39:10.csv,6.161904762,70,5,22,550,0.001688619
627,HLA-B14:01.csv,5.971428571,64,6,27,530,0.004729845
627,HLA-B14:02.csv,5.971428571,64,6,27,530,0.014190905
627,HLA-B14:03.csv,5.971428571,64,6,27,530,0.001013171
624,HLA-B54:01.csv,5.942857143,72,9,11,532,0.009118541
550,HLA-B40:01.csv,5.238095238,64,11,19,456,0.057426737
550,HLA-B40:02.csv,5.238095238,64,11,19,456,0.032089236
550,HLA-B40:06.csv,5.238095238,64,11,19,456,0.005065856
550,HLA-B40:12.csv,5.238095238,64,11,19,456,0.000675447
538,HLA-A23:01.csv,5.123809524,59,8,21,450,0.047317835
534,HLA-B18:01.csv,5.085714286,60,9,10,455,0.033793268
534,HLA-B18:03.csv,5.085714286,60,9,10,455,0.001013856
441,HLA-B53:01.csv,4.2,55,5,8,373,0.03816381
400,HLA-B44:02.csv,3.80952381,41,9,13,337,0.029406284
400,HLA-B44:03.csv,3.80952381,41,9,13,337,0.036488892
400,HLA-B44:05.csv,3.80952381,41,9,13,337,0.002028398
400,HLA-B44:10.csv,3.80952381,41,9,13,337,0.001013171
389,HLA-B57:01.csv,3.704761905,48,3,19,319,0.0141957
389,HLA-B57:02.csv,3.704761905,48,3,19,319,0.002026342
389,HLA-B57:03.csv,3.704761905,48,3,19,319,0.01148295
389,HLA-B57:04.csv,3.704761905,48,3,19,319,0.000675447
273,HLA-B48:01.csv,2.6,46,4,11,212,0.007430265
273,HLA-B48:03.csv,2.6,46,4,11,212,0.000675447
230,HLA-A80:01.csv,2.19047619,23,6,8,193,0.002349782
218,HLA-A25:01.csv,2.076190476,25,7,5,181,0.014072376
210,HLA-A66:01.csv,2,25,4,9,172,0.009395079
210,HLA-A66:02.csv,2,25,4,9,172,0.002349782
201,HLA-A01:01.csv,1.914285714,22,8,4,167,0.067723708
201,HLA-A01:02.csv,1.914285714,22,8,4,167,0.002014099
164,HLA-A26:01.csv,1.561904762,19,4,3,138,0.031566895
164,HLA-A26:02.csv,1.561904762,19,4,3,138,0.001346801
164,HLA-A26:03.csv,1.561904762,19,4,3,138,0.001346801
160,HLA-B51:01.csv,1.523809524,19,3,4,134,0.037842528
160,HLA-B51:02.csv,1.523809524,19,3,4,134,0.001688619
160,HLA-B51:07.csv,1.523809524,19,3,4,134,0.00067579
160,HLA-B51:08.csv,1.523809524,19,3,4,134,0.000338066
119,HLA-C01:02.csv,1.133333333,11,5,2,101,0.068931727
119,HLA-C02:02.csv,1.133333333,11,5,2,101,0.046423025
119,HLA-C02:10.csv,1.133333333,11,5,2,101,0.003
119,HLA-C04:01.csv,1.133333333,11,5,2,101,0.114899598
119,HLA-C04:03.csv,1.133333333,11,5,2,101,0.006024096
119,HLA-C16:01.csv,1.133333333,11,5,2,101,0.039028112
119,HLA-C17:01.csv,1.133333333,11,5,2,101,0.029350736
119,HLA-C18:01.csv,1.133333333,11,5,2,101,0.01
106,HLA-B38:01.csv,1.00952381,9,1,2,94,0.010817093
106,HLA-B38:02.csv,1.00952381,9,1,2,94,0.007767646
58,HLA-B46:01.csv,0.552380952,8,3,1,46,0.027693347
